Application Type,Technologies,Vulnerabilities,Attack Type,Security Measure,Breach Severity,Data Lost,Financial Loss(dollar)
Desktop Application,"Qt, SQLite, C#","Weak OpenSSL configuration, Weak user authentication in embedded DBs, Hardcoded database connection strings",SQL Injection,Use prepared statements and parameterized queries.,High,6450,139113
Cloud Application,"Google Cloud, Terraform","Insufficient API Key Security, Unvalidated Infrastructure Changes",Data Exposure,Encrypt sensitive data and use proper access control.,High,7854,148965
Web Application,"CSS, Javascript","CSS injection via style attributes, Insecure local storage usage",API Abuse,Implement rate limiting and secure API keys.,Low,2750,14326
Desktop Application,C#,Command injection,API Abuse,Implement rate limiting and secure API keys.,Low,863,14154
Web Application,"HTML, PHP","Hidden Input Fields Manipulation, Insecure file uploads",Code Injection,Avoid using eval() and sanitize user inputs.,Critical,8192,219504
AI/ML Application,"PyTorch, Hugging Face","Lack of proper model integrity checks, Weak model deployment security",Code Injection,Avoid using eval() and sanitize user inputs.,Medium,5126,66964
AI/ML Application,Scikit-Learn,No protection against data poisoning attacks,Code Injection,Avoid using eval() and sanitize user inputs.,High,7786,157309
Mobile Application,Kotlin,Lack of proper background task handling,XSS,Implement content security policy (CSP) and input validation.,Low,2634,16991
Mobile Application,Flutter,Insecure platform channel communication,Code Injection,Avoid using eval() and sanitize user inputs.,High,7672,133850
Web Application,"HTML, MySQL","Lack of Content Security Policy (CSP), Storing plaintext passwords",Code Injection,Avoid using eval() and sanitize user inputs.,Critical,8589,211757
Cloud Application,"AWS Lambda, Google Cloud, Terraform","Unrestricted API Gateway Access, Insufficient API Key Security, Insecure Default Security Group Configurations",Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,Critical,9367,228444
Mobile Application,"Java, Flutter","WebView Misconfigurations, Debugging code left in production builds",Code Injection,Avoid using eval() and sanitize user inputs.,Low,735,17307
Mobile Application,Java,Insecure broadcast receivers,Session Hijacking,Use secure cookies with HTTPOnly and Secure flags.,High,6462,143082
Cloud Application,Google Cloud,Insufficient API Key Security,Privilege Escalation,Apply the principle of least privilege and audit logs.,Critical,9949,234992
